Meta-level Policy,Pretrained Percentile,Number of Steps,Return
Random (No Terminate),0.5,138,40.0
Random (No Terminate),0.5,200,41.0
Random (No Terminate),0.5,500,105.0
Random (No Terminate),0.5,228,43.0
Random (No Terminate),0.5,377,80.0
Random (No Terminate),0.5,209,45.0
Random (No Terminate),0.5,206,40.0
Random (No Terminate),0.5,392,81.0
Random (No Terminate),0.5,500,109.0
Random (No Terminate),0.5,169,40.0
Random (No Terminate),0.5,417,87.0
Random (No Terminate),0.5,18,2.0
Random (No Terminate),0.5,361,83.0
Random (No Terminate),0.5,144,40.0
Random (No Terminate),0.5,306,83.0
Random (No Terminate),0.5,500,81.0
Random (No Terminate),0.5,266,45.0
Random (No Terminate),0.5,500,102.0
Random (No Terminate),0.5,18,0.0
Random (No Terminate),0.5,426,86.0
Random (No Terminate),0.5,330,82.0
Random (No Terminate),0.5,500,93.0
Random (No Terminate),0.5,500,113.0
Instant Terminate,0.75,26,1.0
Instant Terminate,0.75,27,4.0
Instant Terminate,0.75,49,5.0
Instant Terminate,0.75,94,8.0
Instant Terminate,0.75,191,27.0
Instant Terminate,0.75,194,20.0
Instant Terminate,0.75,147,14.0
Instant Terminate,0.75,234,40.0
Instant Terminate,0.75,25,3.0
Instant Terminate,0.75,78,6.0
Instant Terminate,0.75,285,19.0
Instant Terminate,0.75,45,2.0
Instant Terminate,0.75,303,17.0
Instant Terminate,0.75,49,5.0
Instant Terminate,0.75,102,11.0
Instant Terminate,0.75,150,10.0
Instant Terminate,0.75,300,40.0
Instant Terminate,0.75,500,57.0
Instant Terminate,0.75,272,40.0
Instant Terminate,0.75,500,86.0
Instant Terminate,0.75,33,5.0
Instant Terminate,0.75,170,17.0
Instant Terminate,0.75,160,16.0
Instant Terminate,0.75,408,48.0
Instant Terminate,0.75,276,40.0
Instant Terminate,0.75,167,20.0
Instant Terminate,0.75,500,50.0
Instant Terminate,0.75,500,90.0
Instant Terminate,0.75,109,7.0
Instant Terminate,0.75,18,0.0
Instant Terminate,0.75,26,1.0
Instant Terminate,0.75,13,2.0
Instant Terminate,0.75,500,44.0
Instant Terminate,0.75,40,2.0
Instant Terminate,0.75,287,35.0
Instant Terminate,0.75,17,1.0
Instant Terminate,0.75,12,1.0
Instant Terminate,0.75,200,20.0
Instant Terminate,0.75,9,1.0
Instant Terminate,0.75,22,1.0
Instant Terminate,0.75,412,53.0
Instant Terminate,0.75,500,73.0
Instant Terminate,0.75,361,49.0
Instant Terminate,0.75,85,8.0
Instant Terminate,0.75,500,58.0
Instant Terminate,0.75,36,3.0
Instant Terminate,0.75,278,47.0
Instant Terminate,0.75,252,28.0
Instant Terminate,0.75,252,40.0
Instant Terminate,0.75,97,7.0
Instant Terminate,0.75,142,17.0
Instant Terminate,0.75,126,17.0
Instant Terminate,0.75,104,7.0
Instant Terminate,0.75,89,9.0
Instant Terminate,0.75,495,71.0
Instant Terminate,0.75,500,62.0
